País;Año;Miles de tns LCE
Argentina;1995;0,042584
Argentina;1996;0,042584
Argentina;1997;0,042584
Argentina;1998;6,01499
Argentina;1999;1,0646
Argentina;2000;1,0646
Argentina;2001;1,0646
Argentina;2002;5,035558
Argentina;2003;5,11008
Argentina;2004;10,48631
Argentina;2005;10,53954
Argentina;2006;15,4367
Argentina;2007;15,969
Argentina;2008;16,87391
Argentina;2009;11,81706
Argentina;2010;15,70285
Argentina;2011;15,70285
Argentina;2012;14,3721
Argentina;2013;13,3075
Argentina;2014;17,0336
Argentina;2015;19,1628
Argentina;2016;30,8734
Argentina;2017;30,3411
Argentina;2018;34,0672
Argentina;2019;33,5349
Argentina;2020;31,4057
Argentina;2021;31,76187418
Argentina;2022;33,0026
Australia;1995;11,88882173
Australia;1996;20,66460856
Australia;1997;8,392275459
Australia;1998;6,281114009
Australia;1999;8,014847988
Australia;2000;9,718168351
Australia;2001;11,84787518
Australia;2002;11,73304471
Australia;2003;18,6305
Australia;2004;17,57338027
Australia;2005;25,76047396
Australia;2006;32,95088529
Australia;2007;36,38957188
Australia;2008;35,5363558
Australia;2009;29,29841319
Australia;2010;45,06121192
Australia;2011;62,2791
Australia;2012;67,6021
Australia;2013;53,85465197
Australia;2014;65,87180271
Australia;2015;63,49804621
Australia;2016;74,522
Australia;2017;113,3799
Australia;2018;303,411
Australia;2019;239,535
Australia;2020;212,92
Australia;2021;294,97733
Australia;2022;324,703
Brasil;1995;0,170336
Brasil;1996;0,170336
Brasil;1997;0,170336
Brasil;1998;0,170336
Brasil;1999;0,170336
Brasil;2000;0,15969
Brasil;2001;1,17106
Brasil;2002;1,192352
Brasil;2003;1,27752
Brasil;2004;1,288166
Brasil;2005;1,288166
Brasil;2006;1,288166
Brasil;2007;0,95814
Brasil;2008;0,85168
Brasil;2009;0,85168
Brasil;2010;0,85168
Brasil;2011;1,70336
Brasil;2012;0,79845
Brasil;2013;2,1292
Brasil;2014;0,85168
Brasil;2015;0,786196304
Brasil;2016;1,197314005
Brasil;2017;1,434356067
Brasil;2018;5,575860315
Brasil;2019;11,55971041
Brasil;2020;7,55866
Brasil;2021;7,9845
Brasil;2022;11,7106
Chile;1995;10,646
Chile;1996;14,1787033
Chile;1997;24,24378284
Chile;1998;29,07768023
Chile;1999;30,36854152
Chile;2000;35,86571902
Chile;2001;31,31713495
Chile;2002;35,23877463
Chile;2003;41,66318858
Chile;2004;44,39748476
Chile;2005;43,6805289
Chile;2006;47,25290374
Chile;2007;54,93441004
Chile;2008;52,26591853
Chile;2009;27,2406127
Chile;2010;47,26719861
Chile;2011;63,29487758
Chile;2012;65,60857141
Chile;2013;55,91839432
Chile;2014;57,67029985
Chile;2015;52,21645915
Chile;2016;72,37137939
Chile;2017;75,76544677
Chile;2018;90,35528277
Chile;2019;102,421372
Chile;2020;115,1383909
Chile;2021;138,398
Chile;2022;207,597
China;1995;1,70336
China;1996;14,9044
China;1997;15,4367
China;1998;15,969
China;1999;12,2429
China;2000;12,7752
China;2001;12,7752
China;2002;12,7752
China;2003;13,3075
China;2004;13,99949
China;2005;15,01086
China;2006;15,01086
China;2007;16,02223
China;2008;17,51267
China;2009;20,01448
China;2010;21,02585
China;2011;22,03722
China;2012;23,9535
China;2013;25,0181
China;2014;12,2429
China;2015;10,646
China;2016;12,2429
China;2017;36,1964
China;2018;37,7933
China;2019;57,4884
China;2020;70,7959
China;2021;74,522
China;2022;101,137
Portugal;1995;0,85168
Portugal;1996;0,85168
Portugal;1997;0,95814
Portugal;1998;0,85168
Portugal;1999;1,18665639
Portugal;2000;0,74671044
Portugal;2001;0,923886495
Portugal;2002;1,303469625
Portugal;2003;1,96466607
Portugal;2004;2,29123212
Portugal;2005;2,090741325
Portugal;2006;2,27536596
Portugal;2007;2,774986626
Portugal;2008;2,785613996
Portugal;2009;2,982923766
Portugal;2010;3,202503105
Portugal;2011;2,996911811
Portugal;2012;1,65263181
Portugal;2013;1,592118881
Portugal;2014;1,394013855
Portugal;2015;1,366942567
Portugal;2016;2,05664751
Portugal;2017;4,051597192
Portugal;2018;6,133553171
Portugal;2019;4,78366326
Portugal;2020;1,851206325
Portugal;2021;4,7907
Portugal;2022;3,1938
Otros paises;1995;3,789976
Otros paises;1996;3,928374
Otros paises;1997;8,72972
Otros paises;1998;3,875144
Otros paises;1999;3,77933
Otros paises;2000;3,77933
Otros paises;2001;3,7261
Otros paises;2002;3,763361
Otros paises;2003;3,77933
Otros paises;2004;3,763361
Otros paises;2005;3,763361
Otros paises;2006;3,763361
Otros paises;2007;3,763361
Otros paises;2008;3,67287
Otros paises;2009;1,65013
Otros paises;2010;0
Otros paises;2011;0
Otros paises;2012;0
Otros paises;2013;0
Otros paises;2014;0,107990119
Otros paises;2015;0
Otros paises;2016;0,05323
Otros paises;2017;0,457778
Otros paises;2018;15,75608
Otros paises;2019;1,96951
Otros paises;2020;0,42584
Otros paises;2021;0,540380557
Otros paises;2022;0
Estados Unidos;1995;18,6305
Estados Unidos;1996;21,292
Estados Unidos;1997;21,292
Estados Unidos;1998;7,9845
Estados Unidos;1999;7,9845
Estados Unidos;2000;7,9845
Estados Unidos;2001;7,9845
Estados Unidos;2002;7,9845
Estados Unidos;2003;7,9845
Estados Unidos;2004;7,9845
Estados Unidos;2005;7,9845
Estados Unidos;2006;7,9845
Estados Unidos;2007;7,9845
Estados Unidos;2008;7,9845
Estados Unidos;2009;7,9845
Estados Unidos;2010;5,323
Estados Unidos;2011;5,323
Estados Unidos;2012;5,323
Estados Unidos;2013;4,63101
Estados Unidos;2014;4,7907
Estados Unidos;2015;4,7907
Estados Unidos;2016;4,7907
Estados Unidos;2017;4,7907
Estados Unidos;2018;4,7907
Estados Unidos;2019;4,7907
Estados Unidos;2020;4,7907
Estados Unidos;2021;4,7907
Estados Unidos;2022;3,7261
Zimbabue;1995;2,76796
Zimbabue;1996;2,6615
Zimbabue;1997;3,7261
Zimbabue;1998;5,323
Zimbabue;1999;3,7261
Zimbabue;2000;3,93902
Zimbabue;2001;3,7261
Zimbabue;2002;3,40672
Zimbabue;2003;2,55504
Zimbabue;2004;1,27752
Zimbabue;2005;1,38398
Zimbabue;2006;3,1938
Zimbabue;2007;1,5969
Zimbabue;2008;2,6615
Zimbabue;2009;2,1292
Zimbabue;2010;2,50181
Zimbabue;2011;2,50181
Zimbabue;2012;5,64238
Zimbabue;2013;5,323
Zimbabue;2014;4,7907
Zimbabue;2015;4,7907
Zimbabue;2016;5,323
Zimbabue;2017;4,2584
Zimbabue;2018;8,5168
Zimbabue;2019;6,3876
Zimbabue;2020;2,219691
Zimbabue;2021;6,3876
